/home/benjamintan/miniconda3/envs/drlnd/bin/python /home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/run.py
Found path: /home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher.x86_64
Mono path[0] = '/home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher_Data/Managed'
Mono config path = '/home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/benjamintan/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		goal_speed -> 1.0
		goal_size -> 5.0
Unity brain name: ReacherBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 33
        Number of stacked Vector Observation: 1
        Vector Action space type: continuous
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , ,
Number of agents: 20
Size of each action 4
There are 20 agents. Each observes a state with length: 33
Using random seed: 138
Episode 1	Average: 0.45	Min: 0.00	Max: 1.43
Episode 2	Average: 0.54	Min: 0.09	Max: 2.27
Episode 3	Average: 0.61	Min: 0.08	Max: 2.61
Episode 4	Average: 0.80	Min: 0.48	Max: 3.44
Episode 5	Average: 0.95	Min: 0.81	Max: 3.38
Episode 6	Average: 1.14	Min: 0.80	Max: 3.84
Episode 7	Average: 1.32	Min: 0.62	Max: 3.77
Episode 8	Average: 1.45	Min: 1.42	Max: 3.71
Episode 9	Average: 1.60	Min: 1.41	Max: 4.94
Episode 10	Average: 1.73	Min: 1.35	Max: 4.42
Saving Episode: 10.
Episode 11	Average: 1.91	Min: 1.21	Max: 7.18
Episode 12	Average: 2.04	Min: 0.56	Max: 5.96
Episode 13	Average: 2.19	Min: 1.69	Max: 8.87
Episode 14	Average: 2.38	Min: 1.60	Max: 10.82
Episode 15	Average: 2.55	Min: 1.86	Max: 6.81
Episode 16	Average: 2.70	Min: 2.81	Max: 8.27
Episode 17	Average: 2.96	Min: 2.88	Max: 13.51
Episode 18	Average: 3.17	Min: 4.12	Max: 9.65
Episode 19	Average: 3.41	Min: 2.30	Max: 11.31
Episode 20	Average: 3.59	Min: 4.05	Max: 12.62
Saving Episode: 20.
Episode 21	Average: 3.84	Min: 5.67	Max: 18.26
Episode 22	Average: 4.01	Min: 4.29	Max: 12.93
Episode 23	Average: 4.22	Min: 5.15	Max: 25.52
Episode 24	Average: 4.38	Min: 5.10	Max: 10.26
Episode 25	Average: 4.55	Min: 5.04	Max: 11.84
Episode 26	Average: 4.71	Min: 2.95	Max: 12.20
Episode 27	Average: 4.88	Min: 2.06	Max: 17.60
Episode 28	Average: 5.01	Min: 3.80	Max: 11.11
Episode 29	Average: 5.17	Min: 4.54	Max: 14.21
Episode 30	Average: 5.31	Min: 6.01	Max: 26.78
Saving Episode: 30.
Episode 31	Average: 5.53	Min: 3.82	Max: 28.68
Episode 32	Average: 5.71	Min: 4.59	Max: 28.60
Episode 33	Average: 5.91	Min: 7.18	Max: 19.53
Episode 34	Average: 6.15	Min: 9.80	Max: 24.78
Episode 35	Average: 6.35	Min: 8.40	Max: 18.11
Episode 36	Average: 6.52	Min: 8.02	Max: 17.52
